,cod_ship,Order ID,Order Date,Ship Date,Ship Mode,City
4001,4002,CA-2017-106621,29/09/2017,01/10/2017,Second Class,Yuma
4002,4003,CA-2016-107020,10/07/2016,14/07/2016,Standard Class,San Bernardino
4003,4004,US-2016-117492,07/08/2016,09/08/2016,First Class,Baltimore
4004,4005,CA-2015-101392,07/12/2015,13/12/2015,Standard Class,Seattle
4005,4006,CA-2016-127502,10/12/2016,14/12/2016,Standard Class,San Francisco
4006,4007,CA-2018-143658,08/11/2018,13/11/2018,Second Class,New York City
4007,4008,CA-2018-133046,27/07/2018,01/08/2018,Second Class,Seattle
4008,4009,CA-2018-122798,28/12/2018,01/01/2019,Standard Class,Albuquerque
4009,4010,CA-2017-169663,10/03/2017,13/03/2017,First Class,Los Angeles
4010,4011,CA-2016-149846,22/05/2016,26/05/2016,Standard Class,Los Angeles
4011,4012,CA-2018-159149,17/02/2018,19/02/2018,First Class,Houston
4012,4013,US-2018-167570,08/12/2018,15/12/2018,Standard Class,Philadelphia
4013,4014,CA-2018-160122,18/11/2018,23/11/2018,Standard Class,Chicago
4014,4015,CA-2017-130393,01/12/2017,03/12/2017,Second Class,San Angelo
4015,4016,CA-2018-144820,03/10/2018,07/10/2018,Second Class,Pasadena
4016,4017,CA-2018-101014,29/08/2018,04/09/2018,Standard Class,Los Angeles
4017,4018,CA-2018-105543,24/11/2018,24/11/2018,Same Day,Garden City
4018,4019,US-2018-113201,30/06/2018,05/07/2018,Standard Class,Los Angeles
4019,4020,US-2018-106551,22/07/2018,27/07/2018,Standard Class,Chicago
4020,4021,CA-2017-116722,11/11/2017,16/11/2017,Standard Class,San Francisco
4021,4022,CA-2015-138128,09/12/2015,15/12/2015,Standard Class,Philadelphia
4022,4023,US-2018-150070,07/09/2018,12/09/2018,Standard Class,Modesto
4023,4024,CA-2016-137064,06/02/2016,13/02/2016,Standard Class,Houston
4024,4025,CA-2018-157350,26/08/2018,01/09/2018,Standard Class,Chicago
4025,4026,CA-2015-127866,20/07/2015,23/07/2015,First Class,Riverside
4026,4027,CA-2016-131352,08/10/2016,13/10/2016,Standard Class,Dallas
4027,4028,CA-2016-121776,16/02/2016,21/02/2016,Standard Class,Los Angeles
4028,4029,CA-2017-118073,12/08/2017,16/08/2017,Standard Class,Lakeland
4029,4030,CA-2015-103219,09/11/2015,13/11/2015,Standard Class,New York City
4030,4031,CA-2017-102561,18/07/2017,22/07/2017,Standard Class,Philadelphia
4031,4032,CA-2017-100993,05/02/2017,10/02/2017,Standard Class,San Diego
4032,4033,US-2015-112949,20/06/2015,27/06/2015,Standard Class,Lawton
4033,4034,US-2018-146822,09/06/2018,14/06/2018,Standard Class,Salem
4034,4035,US-2017-131058,27/12/2017,31/12/2017,Standard Class,Santa Ana
4035,4036,CA-2015-167997,26/01/2015,29/01/2015,First Class,Rapid City
4036,4037,CA-2018-140151,23/03/2018,25/03/2018,First Class,Seattle
4037,4038,US-2018-143770,20/03/2018,24/03/2018,Standard Class,Middletown
4038,4039,CA-2017-131296,04/10/2017,09/10/2017,Standard Class,Baltimore
4039,4040,CA-2017-103464,18/11/2017,22/11/2017,Standard Class,San Diego
4040,4041,CA-2018-136238,26/12/2018,01/01/2019,Standard Class,Odessa
4041,4042,CA-2017-120803,09/03/2017,13/03/2017,Standard Class,Milford
4042,4043,CA-2017-134138,16/02/2017,20/02/2017,Standard Class,Belleville
4043,4044,CA-2016-120915,28/09/2016,03/10/2016,Second Class,New York City
4044,4045,CA-2016-168207,02/11/2016,06/11/2016,Standard Class,San Diego
4045,4046,CA-2017-144148,31/07/2017,05/08/2017,Standard Class,San Francisco
4046,4047,CA-2018-107174,06/11/2018,13/11/2018,Standard Class,Seattle
4047,4048,CA-2017-146150,14/02/2017,19/02/2017,Standard Class,Jackson
4048,4049,CA-2015-114125,09/07/2015,13/07/2015,Standard Class,Los Angeles
4049,4050,CA-2017-114944,30/01/2017,04/02/2017,Standard Class,Chicago
4050,4051,CA-2017-135965,22/09/2017,25/09/2017,First Class,New York City
4051,4052,CA-2018-149699,22/12/2018,24/12/2018,First Class,Los Angeles
4052,4053,CA-2017-166429,02/09/2017,08/09/2017,Standard Class,Des Moines
4053,4054,CA-2016-112767,02/08/2016,06/08/2016,Standard Class,Springfield
4054,4055,CA-2016-119879,21/11/2016,25/11/2016,Standard Class,Philadelphia
4055,4056,CA-2018-155642,18/05/2018,22/05/2018,Standard Class,Chicago
4056,4057,US-2018-101721,23/07/2018,27/07/2018,Standard Class,Chicago
4057,4058,CA-2016-136728,13/09/2016,17/09/2016,Second Class,Chicago
4058,4059,CA-2017-127194,10/12/2017,16/12/2017,Standard Class,New York City
4059,4060,CA-2016-140375,02/10/2016,05/10/2016,Second Class,Rockville
4060,4061,US-2018-155866,17/11/2018,21/11/2018,Standard Class,New York City
4061,4062,CA-2016-141327,30/11/2016,03/12/2016,First Class,Durham
4062,4063,CA-2016-136700,06/12/2016,11/12/2016,Second Class,Santa Barbara
4063,4064,CA-2018-102736,05/09/2018,09/09/2018,Standard Class,Knoxville
4064,4065,CA-2018-125269,24/04/2018,30/04/2018,Standard Class,Chicago
4065,4066,CA-2016-114811,08/11/2016,08/11/2016,Same Day,New York City
4066,4067,CA-2016-122266,26/04/2016,30/04/2016,Standard Class,Daytona Beach
4067,4068,CA-2016-141565,20/09/2016,24/09/2016,Standard Class,Nashville
4068,4069,CA-2018-128769,07/09/2018,12/09/2018,Standard Class,Nashville
4069,4070,CA-2017-116337,07/11/2017,12/11/2017,Standard Class,Dallas
4070,4071,CA-2016-120845,25/09/2016,02/10/2016,Standard Class,Murfreesboro
4071,4072,CA-2015-120775,03/10/2015,07/10/2015,Standard Class,Dallas
4072,4073,CA-2015-152905,18/02/2015,24/02/2015,Standard Class,Arlington
4073,4074,CA-2017-104633,12/06/2017,16/06/2017,Standard Class,Pasadena
4074,4075,CA-2018-104136,01/11/2018,04/11/2018,Second Class,Everett
4075,4076,CA-2017-123050,04/04/2017,08/04/2017,Second Class,Troy
4076,4077,CA-2017-162355,30/06/2017,02/07/2017,Second Class,Sandy Springs
4077,4078,CA-2015-158225,22/09/2015,28/09/2015,Standard Class,San Jose
4078,4079,CA-2018-102204,01/05/2018,06/05/2018,Standard Class,Jacksonville
4079,4080,CA-2018-103065,20/10/2018,20/10/2018,Same Day,Jacksonville
4080,4081,CA-2015-109855,01/09/2015,05/09/2015,Standard Class,New York City
4081,4082,CA-2015-109897,12/08/2015,16/08/2015,Standard Class,San Francisco
4082,4083,US-2015-143581,19/08/2015,23/08/2015,Standard Class,Columbus
4083,4084,CA-2016-129217,10/05/2016,10/05/2016,Same Day,Aurora
4084,4085,CA-2017-133816,10/05/2017,13/05/2017,Second Class,Philadelphia
4085,4086,CA-2016-140221,05/03/2016,09/03/2016,Second Class,Chicago
4086,4087,CA-2018-152310,12/08/2018,19/08/2018,Standard Class,Seattle
4087,4088,CA-2017-118101,26/06/2017,26/06/2017,Same Day,Roseville
4088,4089,CA-2017-100307,15/12/2017,19/12/2017,Standard Class,Fayetteville
4089,4090,CA-2016-138457,13/09/2016,17/09/2016,Standard Class,Jacksonville
4090,4091,CA-2015-131800,30/12/2015,04/01/2016,Standard Class,New York City
4091,4092,CA-2015-118304,29/04/2015,04/05/2015,Standard Class,Dover
4092,4093,CA-2018-121790,30/01/2018,06/02/2018,Standard Class,Aurora
4093,4094,CA-2017-169670,25/12/2017,31/12/2017,Standard Class,New York City
4094,4095,CA-2017-139549,20/10/2017,25/10/2017,Standard Class,El Cajon
4095,4096,CA-2016-104059,13/06/2016,15/06/2016,Second Class,Springfield
4096,4097,CA-2018-164112,30/06/2018,04/07/2018,Standard Class,Mount Vernon
4097,4098,CA-2016-143882,26/06/2016,30/06/2016,Standard Class,Lakewood
4098,4099,US-2017-139262,21/02/2017,25/02/2017,Standard Class,Tampa
4099,4100,CA-2018-146192,22/04/2018,26/04/2018,Standard Class,Columbus
4100,4101,CA-2018-134810,09/05/2018,10/05/2018,First Class,Jacksonville
4101,4102,CA-2016-154284,21/12/2016,26/12/2016,Second Class,Saint Charles
4102,4103,CA-2015-156244,12/08/2015,16/08/2015,Standard Class,Miami
4103,4104,CA-2016-106362,11/12/2016,15/12/2016,Standard Class,Troy
4104,4105,US-2018-168802,03/11/2018,07/11/2018,Standard Class,Seattle
4105,4106,US-2018-146906,13/03/2018,17/03/2018,Standard Class,New York City
4106,4107,CA-2017-166380,30/05/2017,03/06/2017,Standard Class,Arlington
4107,4108,US-2016-158911,05/07/2016,11/07/2016,Standard Class,Charlotte
4108,4109,US-2015-103338,11/03/2015,15/03/2015,Standard Class,Roseville
4109,4110,CA-2016-109169,20/04/2016,24/04/2016,Standard Class,Detroit
4110,4111,US-2018-167318,26/07/2018,01/08/2018,Standard Class,Los Angeles
4111,4112,US-2015-120313,31/10/2015,02/11/2015,Second Class,San Francisco
4112,4113,CA-2018-135419,03/11/2018,09/11/2018,Standard Class,Bakersfield
4113,4114,CA-2017-128671,11/08/2017,16/08/2017,Standard Class,Tulsa
4114,4115,CA-2017-149335,25/07/2017,25/07/2017,Same Day,San Francisco
4115,4116,CA-2015-168312,01/03/2015,07/03/2015,Standard Class,Houston
4116,4117,US-2018-105935,26/01/2018,31/01/2018,Standard Class,Columbus
4117,4118,CA-2015-161508,12/07/2015,16/07/2015,Standard Class,League City
4118,4119,CA-2018-130904,11/04/2018,16/04/2018,Standard Class,Burlington
4119,4120,CA-2018-133620,13/11/2018,18/11/2018,Standard Class,New York City
4120,4121,CA-2016-142937,05/12/2016,06/12/2016,First Class,Dallas
4121,4122,US-2017-149790,26/09/2017,01/10/2017,Standard Class,Houston
4122,4123,CA-2017-130778,19/11/2017,25/11/2017,Standard Class,Long Beach
4123,4124,CA-2018-144456,08/09/2018,09/09/2018,First Class,Hialeah
4124,4125,CA-2018-103478,21/07/2018,24/07/2018,Second Class,Aurora
4125,4126,CA-2018-118577,06/10/2018,11/10/2018,Standard Class,Belleville
4126,4127,CA-2018-113572,07/11/2018,11/11/2018,Standard Class,New York City
4127,4128,CA-2017-153269,09/03/2017,12/03/2017,First Class,Andover
4128,4129,CA-2018-161655,13/05/2018,18/05/2018,Second Class,Newark
4129,4130,CA-2017-101469,02/07/2017,08/07/2017,Standard Class,Arlington
4130,4131,CA-2015-153087,27/12/2015,03/01/2016,Standard Class,Decatur
4131,4132,CA-2018-135076,13/04/2018,17/04/2018,Standard Class,Hesperia
4132,4133,CA-2015-161634,14/11/2015,20/11/2015,Standard Class,Chesapeake
4133,4134,CA-2018-141481,11/06/2018,14/06/2018,First Class,Los Angeles
4134,4135,CA-2017-132549,25/11/2017,30/11/2017,Standard Class,Huntsville
4135,4136,US-2015-155544,21/03/2015,25/03/2015,Standard Class,Knoxville
4136,4137,US-2016-115238,30/04/2016,04/05/2016,Standard Class,Lawrence
4137,4138,CA-2018-132199,03/05/2018,08/05/2018,Standard Class,Philadelphia
4138,4139,CA-2017-163174,26/08/2017,30/08/2017,Standard Class,Athens
4139,4140,CA-2015-110555,11/04/2015,18/04/2015,Standard Class,Great Falls
4140,4141,CA-2018-147207,02/01/2018,04/01/2018,Second Class,El Paso
4141,4142,CA-2018-137631,28/04/2018,02/05/2018,Standard Class,Kissimmee
4142,4143,CA-2018-157273,30/01/2018,02/02/2018,First Class,Seattle
4143,4144,CA-2015-109918,07/09/2015,12/09/2015,Second Class,Santa Clara
4144,4145,CA-2017-118745,11/06/2017,16/06/2017,Standard Class,Los Angeles
4145,4146,CA-2017-163972,17/10/2017,21/10/2017,Standard Class,Fresno
4146,4147,CA-2015-165393,27/12/2015,30/12/2015,First Class,Fort Worth
4147,4148,CA-2017-113726,24/11/2017,01/12/2017,Standard Class,Seattle
4148,4149,CA-2017-152940,10/11/2017,13/11/2017,First Class,San Francisco
4149,4150,CA-2016-158701,05/01/2016,10/01/2016,Standard Class,San Francisco
4150,4151,CA-2018-156272,21/03/2018,27/03/2018,Standard Class,Pompano Beach
4151,4152,CA-2016-162964,12/11/2016,18/11/2016,Standard Class,Houston
4152,4153,CA-2015-103527,09/09/2015,14/09/2015,Second Class,Chicago
4153,4154,CA-2017-134544,17/03/2017,19/03/2017,Second Class,San Francisco
4154,4155,CA-2017-163048,08/02/2017,15/02/2017,Standard Class,Houston
4155,4156,CA-2017-145135,26/11/2017,28/11/2017,First Class,Shelton
4156,4157,CA-2018-137582,04/09/2018,08/09/2018,Standard Class,Oakland
4157,4158,CA-2016-149601,28/05/2016,03/06/2016,Standard Class,Manchester
4158,4159,CA-2015-139423,01/11/2015,05/11/2015,Standard Class,Orange
4159,4160,CA-2017-102596,27/12/2017,30/12/2017,First Class,Akron
4160,4161,CA-2018-153227,04/12/2018,06/12/2018,First Class,Los Angeles
4161,4162,CA-2018-110625,23/12/2018,30/12/2018,Standard Class,Danbury
4162,4163,CA-2017-142594,01/12/2017,06/12/2017,Second Class,Franklin
4163,4164,CA-2015-152254,30/06/2015,30/06/2015,Same Day,Wilmington
4164,4165,US-2015-120236,03/09/2015,04/09/2015,First Class,Houston
4165,4166,CA-2018-120061,02/11/2018,07/11/2018,Second Class,Springfield
4166,4167,CA-2016-133837,13/04/2016,18/04/2016,Standard Class,Glendale
4167,4168,CA-2016-110814,05/12/2016,09/12/2016,Second Class,New York City
4168,4169,CA-2017-154067,01/02/2017,07/02/2017,Standard Class,Los Angeles
4169,4170,CA-2018-140480,08/07/2018,12/07/2018,Standard Class,Newark
4170,4171,CA-2016-134082,11/12/2016,17/12/2016,Standard Class,San Bernardino
4171,4172,CA-2017-130820,15/11/2017,15/11/2017,Same Day,Burlington
4172,4173,CA-2017-159765,09/05/2017,12/05/2017,Second Class,Salem
4173,4174,CA-2018-132290,10/03/2018,14/03/2018,Standard Class,Dallas
4174,4175,CA-2017-147109,17/12/2017,21/12/2017,Standard Class,Arlington
4175,4176,CA-2018-107265,06/04/2018,12/04/2018,Standard Class,Marion
4176,4177,CA-2018-118199,09/05/2018,11/05/2018,First Class,Seattle
4177,4178,CA-2018-150091,12/10/2018,16/10/2018,Standard Class,Lakewood
4178,4179,CA-2017-137652,28/08/2017,30/08/2017,First Class,Cincinnati
4179,4180,CA-2016-128356,02/10/2016,07/10/2016,Standard Class,Thornton
4180,4181,CA-2018-167017,23/11/2018,25/11/2018,First Class,Roseville
4181,4182,US-2018-132220,12/11/2018,16/11/2018,Standard Class,Tempe
4182,4183,CA-2017-118129,19/12/2017,21/12/2017,Second Class,Reading
4183,4184,US-2015-113124,30/03/2015,05/04/2015,Standard Class,Apple Valley
4184,4185,CA-2018-155621,08/11/2018,13/11/2018,Standard Class,Baltimore
4185,4186,US-2015-127635,14/09/2015,18/09/2015,Second Class,Corpus Christi
4186,4187,CA-2016-151470,20/09/2016,26/09/2016,Standard Class,Las Vegas
4187,4188,CA-2016-112823,10/12/2016,16/12/2016,Standard Class,Cleveland
4188,4189,CA-2015-108861,28/05/2015,01/06/2015,Standard Class,Seattle
4189,4190,CA-2018-114370,14/03/2018,17/03/2018,Second Class,Chicago
4190,4191,CA-2017-158302,08/12/2017,12/12/2017,Second Class,Columbus
4191,4192,CA-2018-145779,06/05/2018,10/05/2018,Standard Class,Tucson
4192,4193,US-2017-155173,06/03/2017,10/03/2017,Standard Class,Philadelphia
4193,4194,CA-2018-125451,23/10/2018,24/10/2018,First Class,Cranston
4194,4195,CA-2015-131387,28/04/2015,30/04/2015,First Class,San Francisco
4195,4196,CA-2017-125087,18/04/2017,23/04/2017,Standard Class,Houston
4196,4197,CA-2017-154081,22/05/2017,29/05/2017,Standard Class,Los Angeles
4197,4198,US-2018-118556,28/05/2018,02/06/2018,Second Class,Chicago
4198,4199,CA-2015-126200,25/08/2015,29/08/2015,Standard Class,Houston
4199,4200,CA-2015-146500,30/08/2015,04/09/2015,Standard Class,Bristol
4200,4201,CA-2016-169537,03/09/2016,07/09/2016,Second Class,Holland
4201,4202,CA-2015-100881,28/03/2015,01/04/2015,Standard Class,Albuquerque
4202,4203,CA-2016-144043,10/05/2016,15/05/2016,Standard Class,Louisville
4203,4204,CA-2016-116512,09/04/2016,14/04/2016,Standard Class,New York City
4204,4205,CA-2016-101000,09/04/2016,14/04/2016,Standard Class,Norwich
4205,4206,CA-2017-168557,19/09/2017,23/09/2017,Standard Class,San Francisco
4206,4207,US-2017-164196,11/11/2017,17/11/2017,Standard Class,Noblesville
4207,4208,US-2018-132031,23/04/2018,27/04/2018,Standard Class,Clarksville
4208,4209,CA-2016-169733,22/10/2016,26/10/2016,Second Class,Hollywood
4209,4210,CA-2018-169404,09/04/2018,14/04/2018,Standard Class,York
4210,4211,CA-2018-134880,27/10/2018,01/11/2018,Standard Class,Mesa
4211,4212,CA-2016-145758,30/10/2016,30/10/2016,Same Day,New York City
4212,4213,CA-2018-158736,18/12/2018,24/12/2018,Standard Class,San Francisco
4213,4214,US-2017-119270,12/03/2017,16/03/2017,Standard Class,Los Angeles
4214,4215,CA-2015-109890,21/07/2015,27/07/2015,Standard Class,Omaha
4215,4216,CA-2017-138583,24/05/2017,28/05/2017,Standard Class,Philadelphia
4216,4217,US-2018-118535,11/02/2018,15/02/2018,Standard Class,New York City
4217,4218,CA-2017-126284,20/09/2017,24/09/2017,Standard Class,Grand Rapids
4218,4219,CA-2018-142391,24/09/2018,24/09/2018,Same Day,Seattle
4219,4220,CA-2018-124716,27/03/2018,31/03/2018,Standard Class,Fresno
4220,4221,CA-2017-158841,02/02/2017,04/02/2017,Second Class,Arlington
4221,4222,CA-2018-106824,07/07/2018,11/07/2018,Standard Class,Los Angeles
4222,4223,CA-2016-109190,23/10/2016,28/10/2016,Standard Class,Lubbock
4223,4224,CA-2017-143154,02/12/2017,08/12/2017,Standard Class,Longmont
4224,4225,CA-2015-169061,05/03/2015,08/03/2015,Second Class,Yonkers
4225,4226,CA-2016-102316,01/03/2016,03/03/2016,Second Class,Los Angeles
4226,4227,CA-2015-164903,20/02/2015,24/02/2015,Standard Class,Los Angeles
4227,4228,CA-2017-109400,02/05/2017,06/05/2017,Standard Class,Amarillo
4228,4229,CA-2017-130400,08/03/2017,12/03/2017,Standard Class,Dallas
4229,4230,CA-2016-135853,11/12/2016,14/12/2016,First Class,Detroit
4230,4231,CA-2017-103359,22/12/2017,26/12/2017,Standard Class,New York City
4231,4232,CA-2017-144645,02/02/2017,08/02/2017,Standard Class,Houston
4232,4233,CA-2018-141614,05/06/2018,09/06/2018,Standard Class,Orlando
4233,4234,CA-2016-122168,21/08/2016,26/08/2016,Standard Class,Florence
4234,4235,CA-2017-132899,07/04/2017,11/04/2017,Standard Class,New York City
4235,4236,CA-2018-149720,04/06/2018,07/06/2018,Second Class,Frisco
4236,4237,CA-2018-118003,04/12/2018,10/12/2018,Standard Class,Paterson
4237,4238,CA-2017-141887,11/01/2017,15/01/2017,Standard Class,Columbus
4238,4239,US-2017-160206,01/04/2017,07/04/2017,Standard Class,Milwaukee
4239,4240,CA-2018-133074,21/09/2018,25/09/2018,Standard Class,San Francisco
4240,4241,CA-2018-161172,16/03/2018,16/03/2018,Same Day,Columbus
4241,4242,CA-2018-137624,10/11/2018,17/11/2018,Standard Class,Los Angeles
4242,4243,CA-2017-156748,30/11/2017,06/12/2017,Standard Class,Detroit
4243,4244,CA-2016-169677,13/01/2016,15/01/2016,Second Class,Columbus
4244,4245,US-2015-163146,16/05/2015,20/05/2015,Standard Class,San Francisco
4245,4246,CA-2016-157343,07/06/2016,11/06/2016,Standard Class,Philadelphia
4246,4247,CA-2018-147354,09/03/2018,13/03/2018,Standard Class,Los Angeles
4247,4248,CA-2016-157287,22/12/2016,23/12/2016,First Class,Philadelphia
4248,4249,CA-2015-137575,06/08/2015,11/08/2015,Standard Class,New York City
4249,4250,CA-2017-119074,27/03/2017,31/03/2017,Standard Class,Columbus
4250,4251,CA-2016-149566,05/12/2016,10/12/2016,Standard Class,Los Angeles
4251,4252,CA-2016-126186,11/09/2016,12/09/2016,First Class,Aurora
4252,4253,CA-2016-121132,17/07/2016,24/07/2016,Standard Class,Houston
4253,4254,CA-2015-140473,30/05/2015,03/06/2015,Standard Class,Chicago
4254,4255,US-2018-102904,13/11/2018,20/11/2018,Standard Class,Decatur
4255,4256,CA-2017-102092,09/12/2017,11/12/2017,First Class,Springfield
4256,4257,CA-2016-117884,22/03/2016,22/03/2016,Same Day,Plantation
4257,4258,CA-2017-132829,23/12/2017,26/12/2017,Second Class,Houston
4258,4259,CA-2017-123540,02/04/2017,06/04/2017,Second Class,Milwaukee
4259,4260,US-2018-108315,30/04/2018,04/05/2018,Standard Class,Sanford
4260,4261,CA-2017-134110,17/11/2017,18/11/2017,First Class,The Colony
4261,4262,US-2017-136581,10/11/2017,12/11/2017,First Class,Troy
4262,4263,CA-2017-162390,06/12/2017,12/12/2017,Standard Class,Hempstead
4263,4264,CA-2017-162222,03/04/2017,03/04/2017,Same Day,Dallas
4264,4265,CA-2015-121629,28/11/2015,02/12/2015,Standard Class,Houston
4265,4266,CA-2016-164623,20/10/2016,22/10/2016,First Class,New York City
4266,4267,CA-2015-159849,19/09/2015,19/09/2015,Same Day,San Francisco
4267,4268,CA-2018-101273,27/08/2018,30/08/2018,Second Class,Port Saint Lucie
4268,4269,CA-2018-106747,03/07/2018,04/07/2018,First Class,Concord
4269,4270,CA-2018-146164,22/12/2018,26/12/2018,Standard Class,Rochester
4270,4271,CA-2017-111605,27/12/2017,02/01/2018,Standard Class,Louisville
4271,4272,CA-2015-130673,20/05/2015,22/05/2015,Second Class,San Marcos
4272,4273,CA-2015-104808,04/02/2015,08/02/2015,Second Class,Escondido
4273,4274,US-2018-132927,09/12/2018,15/12/2018,Standard Class,Philadelphia
4274,4275,CA-2018-162015,11/07/2018,18/07/2018,Standard Class,Los Angeles
4275,4276,CA-2016-138492,15/05/2016,22/05/2016,Standard Class,Philadelphia
4276,4277,CA-2018-145338,29/01/2018,01/02/2018,First Class,Philadelphia
4277,4278,CA-2018-126676,29/09/2018,01/10/2018,First Class,Hempstead
4278,4279,CA-2018-101700,23/04/2018,26/04/2018,First Class,Greeley
4279,4280,CA-2018-159667,09/11/2018,13/11/2018,Standard Class,Jacksonville
4280,4281,CA-2015-111934,05/05/2015,07/05/2015,First Class,Arlington
4281,4282,US-2017-117387,27/10/2017,31/10/2017,Standard Class,San Francisco
4282,4283,CA-2015-141110,26/11/2015,01/12/2015,Standard Class,Fresno
4283,4284,US-2015-133949,31/12/2015,31/12/2015,Same Day,Reno
4284,4285,US-2017-116365,03/01/2017,08/01/2017,Standard Class,San Antonio
4285,4286,CA-2018-162936,18/08/2018,22/08/2018,Standard Class,New Bedford
4286,4287,CA-2015-151946,04/06/2015,09/06/2015,Standard Class,New York City
4287,4288,CA-2018-123624,13/11/2018,17/11/2018,Second Class,Oxnard
4288,4289,CA-2017-146437,28/01/2017,01/02/2017,Second Class,Los Angeles
4289,4290,CA-2017-138233,09/11/2017,14/11/2017,Standard Class,Oakland
4290,4291,CA-2017-165918,10/09/2017,14/09/2017,Standard Class,Edmonds
4291,4292,CA-2018-117513,03/03/2018,08/03/2018,Standard Class,Los Angeles
4292,4293,CA-2018-132437,08/09/2018,13/09/2018,Second Class,New York City
4293,4294,US-2018-119319,06/11/2018,09/11/2018,Second Class,Dallas
4294,4295,CA-2018-104318,13/05/2018,18/05/2018,Standard Class,Franklin
4295,4296,US-2017-114230,27/11/2017,01/12/2017,Standard Class,Phoenix
4296,4297,CA-2016-136147,13/11/2016,18/11/2016,Standard Class,Miami
4297,4298,CA-2016-156118,08/12/2016,12/12/2016,Standard Class,Colorado Springs
4298,4299,CA-2016-164084,07/09/2016,12/09/2016,Standard Class,New York City
4299,4300,CA-2017-107783,28/07/2017,29/07/2017,First Class,Bethlehem
4300,4301,CA-2018-159793,25/08/2018,29/08/2018,Standard Class,Philadelphia
4301,4302,CA-2015-160094,30/04/2015,02/05/2015,First Class,Louisville
4302,4303,CA-2018-151281,27/04/2018,02/05/2018,Standard Class,Seattle
4303,4304,CA-2018-118346,23/07/2018,24/07/2018,First Class,Kenosha
4304,4305,CA-2015-129819,13/12/2015,15/12/2015,Second Class,Henderson
4305,4306,US-2018-148551,12/01/2018,16/01/2018,Standard Class,Dallas
4306,4307,CA-2018-147767,02/12/2018,02/12/2018,Same Day,Peoria
4307,4308,CA-2016-108259,08/11/2016,15/11/2016,Standard Class,Jacksonville
4308,4309,CA-2017-113341,25/11/2017,29/11/2017,Standard Class,Los Angeles
4309,4310,US-2016-131842,05/12/2016,08/12/2016,First Class,Nashville
4310,4311,CA-2017-164574,29/07/2017,03/08/2017,Standard Class,Charlotte
4311,4312,CA-2015-142769,13/09/2015,13/09/2015,Same Day,Seattle
4312,4313,CA-2017-168361,21/06/2017,25/06/2017,Standard Class,Chicago
4313,4314,CA-2017-153185,03/09/2017,08/09/2017,Standard Class,Cincinnati
4314,4315,CA-2018-124765,25/11/2018,30/11/2018,Standard Class,Fort Lauderdale
4315,4316,CA-2016-131856,12/05/2016,17/05/2016,Standard Class,Houston
4316,4317,CA-2018-126634,30/03/2018,01/04/2018,Second Class,Lakewood
4317,4318,CA-2017-118500,17/11/2017,18/11/2017,First Class,San Francisco
4318,4319,CA-2017-163951,30/12/2017,02/01/2018,First Class,Philadelphia
4319,4320,CA-2017-149916,22/12/2017,24/12/2017,Second Class,Seattle
4320,4321,CA-2016-158918,20/12/2016,25/12/2016,Second Class,Los Angeles
4321,4322,US-2015-159611,27/12/2015,01/01/2016,Second Class,Cleveland
4322,4323,CA-2018-163265,16/02/2018,21/02/2018,Standard Class,Decatur
4323,4324,CA-2018-141705,24/10/2018,26/10/2018,First Class,Mansfield
4324,4325,CA-2017-112739,02/09/2017,07/09/2017,Second Class,Houston
4325,4326,CA-2017-143805,01/12/2017,03/12/2017,Second Class,Richmond
4326,4327,CA-2015-133634,05/11/2015,10/11/2015,Standard Class,Arlington
4327,4328,CA-2018-101665,25/11/2018,01/12/2018,Standard Class,San Francisco
4328,4329,CA-2017-155446,16/12/2017,23/12/2017,Standard Class,San Diego
4329,4330,CA-2018-137323,14/11/2018,18/11/2018,Second Class,Watertown
4330,4331,CA-2017-144015,26/06/2017,26/06/2017,Same Day,Los Angeles
4331,4332,CA-2015-101427,26/12/2015,30/12/2015,Standard Class,Philadelphia
4332,4333,CA-2017-136770,14/08/2017,18/08/2017,Standard Class,Akron
4333,4334,CA-2017-118311,24/10/2017,28/10/2017,Standard Class,San Francisco
4334,4335,US-2015-112795,23/08/2015,28/08/2015,Second Class,Grand Rapids
4335,4336,CA-2018-127096,15/09/2018,17/09/2018,Second Class,San Francisco
4336,4337,CA-2018-119284,15/06/2018,20/06/2018,Standard Class,Nashville
4337,4338,CA-2016-133494,01/03/2016,05/03/2016,Standard Class,Philadelphia
4338,4339,CA-2017-111318,23/07/2017,26/07/2017,First Class,Houston
4339,4340,US-2015-132745,01/10/2015,05/10/2015,Standard Class,Reno
4340,4341,CA-2015-146815,08/09/2015,13/09/2015,Standard Class,New York City
4341,4342,CA-2015-119144,16/11/2015,18/11/2015,First Class,Los Angeles
4342,4343,CA-2015-105648,03/03/2015,07/03/2015,Standard Class,San Diego
4343,4344,US-2016-145422,03/12/2016,07/12/2016,Standard Class,San Francisco
4344,4345,CA-2018-136623,11/07/2018,16/07/2018,Standard Class,San Diego
4345,4346,CA-2018-121678,16/11/2018,20/11/2018,Second Class,Elyria
4346,4347,CA-2017-120824,12/06/2017,16/06/2017,Second Class,Houston
4347,4348,US-2017-135209,29/12/2017,31/12/2017,Second Class,Miami
4348,4349,CA-2018-148145,18/03/2018,23/03/2018,Standard Class,Seattle
4349,4350,CA-2016-103870,27/12/2016,31/12/2016,Standard Class,Murfreesboro
4350,4351,CA-2016-111017,31/07/2016,06/08/2016,Standard Class,Saint Louis
